ad_id,account_id,timestamp,vertical,domain_age_days,daily_spend_usd,click_through_rate,user_report_count,ai_generated_flag,ai_label_compliant,ip_subnet,destination_tld,policy_violation_category
AD-BENIGN-0080533,ACC-176543,2026-07-03 07:51:00,Education,205,65.94,0.0647,0,0,1,192.168.194,.co,None
AD-BENIGN-0095780,ACC-503978,2026-08-17 10:25:00,E-Commerce,467,35.0,0.0786,0,0,1,192.168.209,.io,None
AD-BENIGN-0007768,ACC-734193,2026-07-08 23:54:00,Travel,351,44.52,0.0381,0,0,1,192.168.118,.io,None
AD-BENIGN-0086612,ACC-652743,2026-07-26 03:29:00,Travel,328,124.56,0.0353,1,0,1,192.168.73,.io,None
AD-BENIGN-0074359,ACC-949406,2026-08-31 08:59:00,Education,107,16.59,0.0539,0,0,1,192.168.212,.co,None
AD-BENIGN-0004256,ACC-652162,2026-07-04 09:56:00,Local Services,621,100.85,0.0753,0,1,1,192.168.109,.io,None
AD-BENIGN-0063786,ACC-161652,2026-07-01 22:39:00,SaaS,102,30.02,0.0346,1,0,1,192.168.67,.org,None
AD-BENIGN-0025272,ACC-599701,2026-07-19 05:43:00,SaaS,44,21.03,0.075,0,1,1,192.168.173,.co,None
AD-BENIGN-0011699,ACC-531190,2026-07-28 12:10:00,Travel,144,26.34,0.025,0,0,1,192.168.200,.co,None
AD-BENIGN-0094416,ACC-738415,2026-08-01 06:06:00,Local Services,37,109.93,0.0194,0,1,1,192.168.238,.net,None
AD-BENIGN-0069636,ACC-160734,2026-07-14 09:40:00,Education,385,16.83,0.0219,0,0,1,192.168.36,.net,None
AD-BENIGN-0000914,ACC-877198,2026-09-02 01:46:00,Local Services,1495,65.35,0.033,0,0,1,192.168.37,.io,None
AD-BENIGN-0060710,ACC-413927,2026-07-03 15:48:00,Education,843,8.36,0.0515,0,0,1,192.168.36,.org,None
AD-BENIGN-0073688,ACC-648427,2026-07-15 18:23:00,Education,530,5.94,0.1033,0,1,1,192.168.134,.net,None
AD-BENIGN-0008472,ACC-583493,2026-07-10 20:06:00,Travel,451,9.46,0.0782,0,1,1,192.168.178,.com,None
AD-FRAUD-0001728,ACC-GHOST-524,2026-08-22 16:16:00,Financial Services,3,3438.31,0.2942,1,1,0,10.104.12,.site,Misrepresentation: Financial Scam
AD-BENIGN-0045183,ACC-878356,2026-07-22 20:25:00,Education,222,147.16,0.078,0,0,1,192.168.193,.co,None
AD-BENIGN-0086068,ACC-390968,2026-07-11 08:05:00,Education,528,26.2,0.048,0,0,1,192.168.138,.org,None
AD-BENIGN-0021329,ACC-434124,2026-08-09 05:55:00,Local Services,457,19.75,0.0477,1,0,1,192.168.3,.net,None
AD-BENIGN-0084202,ACC-267789,2026-09-06 03:55:00,Travel,253,41.17,0.0062,0,0,1,192.168.99,.net,None
AD-BENIGN-0037320,ACC-927876,2026-07-20 20:20:00,Education,319,70.95,0.0202,0,0,1,192.168.229,.com,None
AD-BENIGN-0090511,ACC-657019,2026-07-23 06:45:00,Education,98,12.6,0.022,0,0,1,192.168.47,.io,None
AD-BENIGN-0082178,ACC-927718,2026-08-30 02:32:00,Education,44,38.65,0.0453,0,0,0,192.168.55,.net,None
AD-BENIGN-0075509,ACC-396466,2026-08-21 16:56:00,Local Services,80,47.4,0.0597,0,0,1,192.168.218,.com,None
AD-BENIGN-0033210,ACC-419962,2026-07-02 05:32:00,Travel,58,9.36,0.0582,0,1,1,192.168.107,.com,None
AD-BENIGN-0069027,ACC-224827,2026-08-28 18:30:00,Education,100,42.84,0.0652,1,1,1,192.168.146,.co,None
AD-BENIGN-0035894,ACC-496013,2026-09-06 21:48:00,Local Services,554,79.57,0.0235,0,0,1,192.168.41,.io,None
AD-BENIGN-0012845,ACC-127771,2026-07-22 04:18:00,E-Commerce,80,17.38,0.0413,0,0,1,192.168.60,.org,None
AD-BENIGN-0050613,ACC-367148,2026-08-22 18:28:00,SaaS,57,14.19,0.0277,0,0,1,192.168.145,.io,None
AD-BENIGN-0007443,ACC-345563,2026-07-05 08:23:00,Education,218,24.87,0.0486,0,1,0,192.168.219,.co,None
AD-BENIGN-0094157,ACC-186006,2026-08-17 05:39:00,E-Commerce,373,70.49,0.0412,0,0,1,192.168.63,.net,None
AD-FRAUD-0002499,ACC-GHOST-614,2026-08-20 10:24:00,Financial Services,3,1920.33,0.3077,7,1,0,10.104.12,.site,Unlabeled AI Creative
AD-BENIGN-0063595,ACC-379817,2026-08-14 06:17:00,Local Services,173,52.68,0.0554,0,0,1,192.168.6,.org,None
AD-BENIGN-0072973,ACC-735163,2026-07-23 12:45:00,Education,632,46.42,0.0404,0,0,1,192.168.15,.co,None
AD-BENIGN-0010229,ACC-758085,2026-07-26 11:52:00,Education,31,61.25,0.0189,0,1,1,192.168.103,.com,None
AD-BENIGN-0064801,ACC-608354,2026-07-22 02:37:00,Travel,1796,53.78,0.0256,0,0,0,192.168.172,.com,None
AD-BENIGN-0057890,ACC-832855,2026-08-20 17:36:00,E-Commerce,392,52.76,0.0253,0,0,1,192.168.107,.net,None
AD-BENIGN-0012411,ACC-429849,2026-08-11 00:57:00,E-Commerce,202,9.33,0.047,0,1,1,192.168.60,.co,None
AD-BENIGN-0006893,ACC-493602,2026-08-14 20:29:00,Travel,239,28.29,0.144,0,1,1,192.168.142,.io,None
